strategy_code,future_id,region,time_period,difference_variable,variable_value_baseline,variable_value_pathway,difference_value,variable,value,name,sector,cb_type,item_1,item_2,Year,strategy_id,primary_id,strategy,ids,gdp_mmm_usd
PFLO:NZ,0,mexico,0,pop_unimproved_rural,254361.37246222203,254361.37246222203,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2013,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,35.59460469864133
PFLO:NZ,0,mexico,1,pop_unimproved_rural,256538.97019760823,256538.97019760823,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2014,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,36.5912536302033
PFLO:NZ,0,mexico,2,pop_unimproved_rural,258707.98142234905,258707.98142234905,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2015,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,37.798765
PFLO:NZ,0,mexico,3,pop_unimproved_rural,261178.89225316056,261178.89225316056,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2016,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,38.46883
PFLO:NZ,0,mexico,4,pop_unimproved_rural,263568.13171690423,263568.13171690423,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2017,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,39.188805
PFLO:NZ,0,mexico,5,pop_unimproved_rural,265877.6547709827,265877.6547709827,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2018,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,39.961635
PFLO:NZ,0,mexico,6,pop_unimproved_rural,268111.6965865139,268111.6965865139,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2019,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,39.8505
PFLO:NZ,0,mexico,7,pop_unimproved_rural,270273.2049129051,270273.2049129051,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2020,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,36.402835
PFLO:NZ,0,mexico,8,pop_unimproved_rural,266186.3291163667,266186.3291163667,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2021,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,38.527885
PFLO:NZ,0,mexico,9,pop_unimproved_rural,267852.03039298207,267852.03039298207,0.0,cb:wali:technical_cost:sanitation:unimp_rural,0.0,cb,wali,technical_cost,sanitation,unimp_rural,2022,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,40.02983500000001
PFLO:NZ,0,mexico,10,pop_unimproved_rural,269505.6678811236,269505.6678811236,0.0,cb:wali:technical_cost:sanitation:unimp_rural,-0.0,cb,wali,technical_cost,sanitation,unimp_rural,2023,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,41.3223983675
PFLO:NZ,0,mexico,11,pop_unimproved_rural,271147.2415391347,263400.17749515915,-7747.064043975552,cb:wali:technical_cost:sanitation:unimp_rural,5.035591628584109e-05,cb,wali,technical_cost,sanitation,unimp_rural,2024,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,42.3004995485
PFLO:NZ,0,mexico,12,pop_unimproved_rural,272776.7515948145,257189.50864653938,-15587.242948275089,cb:wali:technical_cost:sanitation:unimp_rural,0.00010131707916378808,cb,wali,technical_cost,sanitation,unimp_rural,2025,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,42.908780727
PFLO:NZ,0,mexico,13,pop_unimproved_rural,274108.0212356375,250613.04798686836,-23494.97324876912,cb:wali:technical_cost:sanitation:unimp_rural,0.00015271732611699929,cb,wali,technical_cost,sanitation,unimp_rural,2026,6003,72072.0,PFLO:NZ,cb:wali:technical_cost:sanitation:unimp_rural:6003,43.739065631
