time_period,year,emission_co2e_subsector_total_agrc,emission_co2e_subsector_total_frst,emission_co2e_subsector_total_lndu,emission_co2e_subsector_total_lsmm,emission_co2e_subsector_total_lvst,emission_co2e_subsector_total_soil,emission_co2e_subsector_total_waso,emission_co2e_subsector_total_trww,emission_co2e_subsector_total_ccsq,emission_co2e_subsector_total_entc,emission_co2e_subsector_total_fgtv,emission_co2e_subsector_total_inen,emission_co2e_subsector_total_scoe,emission_co2e_subsector_total_trns,emission_co2e_subsector_total_ippu
0,2015,2.1111432847272003,-146.9091183361961,56.8851520931169,9.55812138977483,61.32311055098798,31.40282864000971,72.87588296999256,23.940501073033907,0.0,204.80920203277714,76.2651264549202,72.8738899769409,33.182724619142995,132.24481910425465,167.79378005358433
1,2016,2.226633092797025,-147.3764508396764,42.20004447296601,9.650570591135024,61.29068036384451,32.64489736964214,74.74879289946364,24.397156144311403,0.0,206.10535448353232,71.40026954009687,67.48945198632214,33.91089931120341,133.5842740840843,171.84154269008695
2,2017,2.2541416539018413,-147.9541421303933,34.46636881641436,9.693688383068936,60.3570816197894,33.22655819133254,76.61234709424359,24.868103501008818,0.0,198.26698208335776,63.192281920185465,73.30851292188586,34.09166058321669,135.57220283704896,176.13941731239973
3,2018,2.2665225152462067,-147.97057794305292,16.905662022764147,9.755742372312714,59.70493810210229,33.91247077008307,78.48177591767372,25.354277563506937,0.0,197.35492855450357,65.36457682331152,74.35474438920961,33.65570704518154,137.7273232472497,180.44665901977288
4,2019,2.3056862223830974,-147.93305979214077,27.86146733586942,9.749251194635592,58.9717096634349,34.32774113865546,79.05659582113324,25.544300494461677,0.0,202.052943997843,63.1379402978366,69.2057703667097,34.26930880662021,137.90017271371642,179.83612661661823
5,2020,2.232837745780448,-147.7530079030796,27.668256412395863,9.513855263759188,58.38072184127467,34.82292437799722,74.90607615305493,24.605869501156572,0.0,162.76235565611452,60.02454785459861,58.18616520565205,36.79789348752961,126.18108245124289,173.40886202546022
6,2021,2.2583587136289527,-146.29482934005148,27.491983798770747,9.58377263202708,57.63305077964395,35.334739038041675,78.32405098992872,25.103499512100676,0.0,165.5366441206186,57.35752821284906,59.61490769989894,36.33880804360207,131.17909238751275,176.20245767552487
7,2022,2.289444783968058,-147.17459087422606,27.314281600381193,9.687028294374736,56.95953584673794,35.73949776751566,80.93724190084508,25.793424064076817,0.0,156.96149170734526,55.77082092746818,60.176410600885724,36.70223554798947,135.3479790233416,179.0779214222149
8,2023,2.342619140951024,-147.6161975128591,27.13522566488973,9.775380415509815,56.31295579380157,35.99207557390486,83.23669328989688,26.412521976306188,0.0,170.2998404051917,59.53082103635828,60.595680981726524,37.08878232071034,140.06457827822436,181.51930317980904
9,2024,2.3364684675870033,-147.8841690362554,26.95489120195799,9.842692928614555,55.693819679542734,36.05263558962768,85.07772223627265,26.927850624873965,0.0,163.2492645343433,51.351041798408325,60.72411025441693,37.473115613225765,143.87046726326392,183.3450873222655
10,2025,2.3303316805852443,-147.98031439088783,26.773352693417806,9.886325297422806,55.101556340508594,35.89288506516342,86.38313566457433,27.322736839781363,0.0,164.72783333030839,52.9863404242973,60.57504973004071,37.8279467580107,146.5771890282205,184.46868199095775
11,2026,2.32421060800403,-147.9194805299633,26.590683930214624,9.940475183806246,54.52206877278709,35.51445055760253,87.97343856952821,27.770204890484727,0.0,165.75408699813926,50.24884405788597,60.573932527531525,38.19422960822133,149.8988852412059,185.99891494873947
12,2027,2.3181069832352783,-147.9397812657268,26.40695771991082,9.999380273347786,53.959606006445846,34.926552996573854,89.6431806186611,28.240553075781005,0.0,166.97699485293234,47.66958798622819,60.61907981788714,38.589264935133606,153.38174774709788,187.64643217555943
13,2028,2.312022448917666,-147.97066748599966,26.222245898724978,10.059863618310382,53.414581628772616,34.152150445574264,91.32739693604775,28.717943309965293,0.0,168.19617013978615,44.85182471566969,60.679570563038546,39.005885080760486,156.8728640661903,189.32089461285554
