time_period,year,emission_co2e_subsector_total_agrc,emission_co2e_subsector_total_frst,emission_co2e_subsector_total_lndu,emission_co2e_subsector_total_lsmm,emission_co2e_subsector_total_lvst,emission_co2e_subsector_total_soil,emission_co2e_subsector_total_waso,emission_co2e_subsector_total_trww,emission_co2e_subsector_total_ccsq,emission_co2e_subsector_total_entc,emission_co2e_subsector_total_fgtv,emission_co2e_subsector_total_inen,emission_co2e_subsector_total_scoe,emission_co2e_subsector_total_trns,emission_co2e_subsector_total_ippu
14,2029,2.3059585606940507,-147.99249414471373,26.03661929138461,10.121745323708366,52.88650478762326,33.21783333974463,93.02550532379165,29.201748855404738,0.0,170.18789789092625,45.15166077508582,60.74541799125044,39.444437897588955,160.3549404846483,191.01875216386534
15,2030,2.299916790819358,-148.00551646713353,25.85014737050092,10.187860204829441,52.374120194164654,32.14648038084109,94.80726997451897,29.707521770322575,0.0,172.3473679897325,45.46740726079799,60.84961884857114,39.91936237964816,163.96129688312095,192.827742327004
16,2031,2.293898531624907,-148.0269071895171,25.662898545148195,10.252353848092783,51.87554688870981,30.951356025308968,96.65668084561506,30.207724882761894,0.0,174.61348734358253,45.793985712671876,60.98703219577339,40.403479698350274,167.66101851434266,194.73572365716564
17,2032,2.287905098844875,-148.0522098309163,25.474939858672442,10.320420370061269,51.39196338840786,29.640925770073256,98.58505550925705,30.727864241873522,0.0,177.0445693057765,46.1342513535613,61.15864226676615,40.93057120413565,171.45041720205663,196.74534209888384
18,2033,2.281937734810362,-148.08104472225511,25.286337078538708,10.392052264990225,50.92292524547866,28.218178471288773,100.59866801254346,31.268704573324015,0.0,179.62984954890058,46.455771674505954,61.3654319242054,41.504760274247836,175.32581434149245,198.86062673880684
19,2034,2.2759976115163356,-148.11322788065743,25.09715447475962,10.467244012758867,50.46802200161675,26.80196142055506,102.70390107439452,31.83105789436249,0.0,182.3545130399969,46.75576276591181,61.65660165118216,42.13045796142264,179.28364374727673,201.08588857066485
20,2035,2.2700858335665215,-148.14870870761817,24.907454973696275,10.545987354903012,50.02683508441899,26.62691481326745,104.9073062069319,32.41578486083371,0.0,185.2646922169302,47.06941225047616,62.00483656668286,42.81240596611953,183.32056088154266,203.42573967768953
21,2036,2.264203441001036,-148.18752765761914,24.717300003035533,10.622639285521162,49.59750188792087,26.39514000322476,107.20677178597845,32.99687250159473,0.0,188.34579733343213,47.39591164923341,62.38937878280087,43.53478742087365,187.43415491262843,205.88631356394964
22,2037,2.2583514120114696,-148.22978742785446,24.526749535179988,10.702708412222453,49.181129700022375,26.312233494881436,109.61502437651633,33.601635917133564,0.0,191.649767931227,47.73889430458516,62.81142933976542,44.32529380439372,191.6321682523808,208.47171988206654
23,2038,2.252530665547851,-148.27563345226056,24.335862063647056,10.78618190045356,48.77733200533303,26.351232882925142,112.13990726151525,34.23108230041149,0.0,195.1905942244713,48.09987075192079,63.27231693616421,45.1899096609494,195.9312136596033,211.18760766791323
24,2039,2.2467420638218014,-148.32524066838604,24.14469449180403,10.87278259995125,48.38579906424174,26.26811032843934,114.78190384944496,34.884636110305806,0.0,198.9691563925192,48.47903916197696,63.77020231545749,46.132329643224026,200.33322663859192,214.03073864572877
25,2040,2.2409864147099974,-148.37723634797118,23.953302279548993,10.96198387292906,48.00626522199591,26.189026968359716,117.5336437109483,35.5600928887614,0.0,202.97201257739806,48.87516983017222,64.30006780317306,47.153310356325015,204.82449065934415,216.98874239336283
26,2041,2.2352644740618954,-148.42896056895353,23.761739264719864,11.045687628873573,47.637297886409954,26.112095729684782,120.33569603820497,36.21668992811101,0.0,207.07701854557592,49.27719463793164,64.83935955630369,48.222457942980355,209.30315280608156,220.00012990564542
27,2042,2.229576947915488,-148.4699167031974,23.570057839194277,11.1296293873092,47.280024863794885,26.038318880054444,123.18661250914877,36.88161787786182,0.0,211.30068665364558,49.68593493796906,65.38436368648142,49.353715775398605,213.75999226230599,223.05379744340607
28,2043,2.2239244946247747,-148.50010656999635,23.37830877416347,11.2132180788347,46.934180713242256,25.967425734016253,126.07028605139148,37.55125625989969,0.0,215.6122016240792,50.09861670398207,65.92784001705546,50.54182987696522,218.16800650197192,226.1295095858223
29,2044,2.218307726902433,-148.51769468941552,23.186541386273632,11.296520018219038,46.59937119567282,25.89934610670405,128.99075932137347,38.226285782963046,0.0,220.0193797750768,50.51637242191055,66.47105654194269,51.79013537171152,222.54322476894168,229.23133227172585
30,2045,2.212727213781031,-148.5248945329022,22.99480340665184,11.379601442624436,46.27522615979353,25.83401336735344,131.95219998266896,38.90741103160854,0.0,224.53064274059903,50.940397691471794,67.01530128365793,53.10236590446923,226.90230487779127,232.3634587292224
31,2046,2.2071834824960326,-148.52340763481888,22.80314105613425,11.455560851109253,45.96008921739245,25.76992312278715,134.93727280962594,39.561657146304746,0.0,229.11312825766956,51.368565957482595,67.55701354444628,54.472119947585256,231.23749378117785,235.51739725207653
32,2047,2.2016770202936846,-148.51239457008384,22.6115991406499,11.530809718437572,45.65500120014104,25.708269690936508,137.95077241162275,40.21931717711983,0.0,233.7848699511741,51.802262119943954,68.0955491284645,55.9070196775641,235.55582731574654,238.69017619326888
33,2048,2.19620827616673,-148.49240946664494,22.420220794531545,11.605622790742524,45.3595894303288,25.649058256134534,141.00462852188267,40.88261732059662,0.0,238.56948440751626,52.24418652590146,68.63512118097603,57.41527708531718,239.88968003907846,241.89458269867885
34,2049,2.190777662520866,-148.46603311419108,22.22904786702783,11.68033678296208,45.073480736536,25.592317268431106,144.114415659335,41.55445677419038,0.0,243.49841029272858,52.69777314688531,69.1811558025355,59.00796781249683,244.27821425139848,245.14728130649706
35,2050,2.185385556774612,-148.43593496989914,22.038120700602846,11.755096778997824,44.796353720574245,25.538019225886128,147.2893643739104,42.23642270584672,0.0,248.59109885093702,53.16525769891391,69.73647948506427,60.69363608174217,248.74756879319185,248.45749633758953
36,2051,2.180032302895285,-148.4032407908181,21.84747812170376,11.812997237224698,44.5248654936025,25.482593606955415,150.49824358189917,42.82557918323182,0.0,254.6746884565971,53.7535372379811,70.84499350769241,62.486316763077724,254.63269387146417,251.8172878881376
37,2052,2.1747182128735645,-148.36595380886146,21.65715762468713,11.871315117154372,44.261830552875445,25.429528720575654,153.74598355856773,43.42078547978727,0.0,260.8426802073352,54.35039843950156,71.96858741012497,64.31404796381936,260.60667860901486,255.21226806560438
38,2053,2.1694435681390978,-148.32259547655687,21.467195268525828,11.92952561389589,44.00705835736676,25.378588295724985,157.01216090063724,44.017807047833685,0.0,267.0501282612401,54.95152529940095,73.09912995744514,66.16383224811257,266.6268245907591,258.61826495809055
39,2054,2.164208620919463,-148.2701401055757,21.277625770764402,11.987640739680762,43.760291043592126,25.329709973549686,160.29835567190972,44.616773272737966,0.0,273.2971688575869,55.556957813999034,74.23681388020209,68.03591199021784,272.6939348667694,262.0360376875022
40,2055,2.1590135955447396,-148.20956793469196,21.08848253075108,12.045201285438319,43.521332012211175,25.28268042740516,163.5848340222359,45.21379037273703,0.0,279.54177249354206,56.16264747162023,75.3740627075054,69.91780462955145,278.7678556485851,265.44334326747025
41,2056,2.1538586896998173,-148.1385152411866,20.899797572692904,12.102280606293784,43.28992142400416,25.23745995648872,166.8747153375478,45.80941017870948,0.0,285.7882557117769,56.7690307099465,76.5118363623593,71.81082127513197,284.8532673366716,268.8433409499852
42,2057,2.148744075626527,-148.05845879249074,20.71160162118815,12.159202313008793,43.065772457896394,25.194090805792555,170.1828346829838,46.406391459105315,0.0,292.064310294235,57.378816940573216,77.65539704215522,73.72343861828902,290.97767542084813,272.25182227926706
43,2058,2.14366990127756,-147.9722462047026,20.523924236882436,12.216006588179177,42.848645172577534,25.152526592280697,173.51152600552444,47.00510607446512,0.0,298.37272862822374,57.99230366777893,78.80541380209716,75.65668823518325,297.14443502972864,275.6709295219371
44,2059,2.138636291424084,-147.88041455216475,20.336793586106026,12.272980891003868,42.638280285898794,25.112803344361186,176.87500886253542,47.608145286827494,0.0,304.7398352812603,58.6120808199496,79.96689437693573,77.6188907907954,303.37996412744127,279.11550653950985
45,2060,2.1336433487188695,-147.7850880749433,20.15023654567929,12.33040419040377,42.43442255199638,25.074956103274527,180.2878822879745,48.21812656138166,0.0,311.1924391738665,59.24079645295363,81.14494459889153,79.61870905179748,309.7113693130308,282.6005574822624
